story_name,story_section,question,answer1,answer2,local_or_sum,attribute,ex_or_im,ex_or_im2
three-dogs,"now it chanced that the young swine - herd once sat in the wood blowing his flute , while his three pigs were digging under the pine - roots . and an old , old man came along , with a beard so long and so broad that it hung far below his girdle . the old man had a large , powerful dog with him . when the youth saw the great dog , he thought to himself : "" if a fellow had a dog like that to keep him company here in the wilderness , he might consider himself lucky . "" and when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth was at once willing , and closed the bargain . he received the great dog , and gave up the gray pig in place of it . then the old man went his way . but as he left he said : "" you have reason to be satisfied with our exchange , for that dog is not like other dogs . his name is ' take hold ! ' and whatever you tell him to take hold of he will seize , even though it were the grimmest of trolls . "" thereupon they parted , and the youth thought that fortune had indeed favored him .",who came along while the young-swine herd sat in the woof ?,"an old , old man .",,local,character,explicit,
three-dogs,"now it chanced that the young swine - herd once sat in the wood blowing his flute , while his three pigs were digging under the pine - roots . and an old , old man came along , with a beard so long and so broad that it hung far below his girdle . the old man had a large , powerful dog with him . when the youth saw the great dog , he thought to himself : "" if a fellow had a dog like that to keep him company here in the wilderness , he might consider himself lucky . "" and when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth was at once willing , and closed the bargain . he received the great dog , and gave up the gray pig in place of it . then the old man went his way . but as he left he said : "" you have reason to be satisfied with our exchange , for that dog is not like other dogs . his name is ' take hold ! ' and whatever you tell him to take hold of he will seize , even though it were the grimmest of trolls . "" thereupon they parted , and the youth thought that fortune had indeed favored him .",how did the boy feel about the great dog ?,happy .,,local,feeling,implicit,
three-dogs,"now it chanced that the young swine - herd once sat in the wood blowing his flute , while his three pigs were digging under the pine - roots . and an old , old man came along , with a beard so long and so broad that it hung far below his girdle . the old man had a large , powerful dog with him . when the youth saw the great dog , he thought to himself : "" if a fellow had a dog like that to keep him company here in the wilderness , he might consider himself lucky . "" and when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth was at once willing , and closed the bargain . he received the great dog , and gave up the gray pig in place of it . then the old man went his way . but as he left he said : "" you have reason to be satisfied with our exchange , for that dog is not like other dogs . his name is ' take hold ! ' and whatever you tell him to take hold of he will seize , even though it were the grimmest of trolls . "" thereupon they parted , and the youth thought that fortune had indeed favored him .",why was the dog not like other dogs ?,"whatever you told him to take hold of he would seize , even though it were the grimmest of trolls .",,local,causal relationship,explicit,
three-dogs,"now it chanced that the young swine - herd once sat in the wood blowing his flute , while his three pigs were digging under the pine - roots . and an old , old man came along , with a beard so long and so broad that it hung far below his girdle . the old man had a large , powerful dog with him . when the youth saw the great dog , he thought to himself : "" if a fellow had a dog like that to keep him company here in the wilderness , he might consider himself lucky . "" and when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth was at once willing , and closed the bargain . he received the great dog , and gave up the gray pig in place of it . then the old man went his way . but as he left he said : "" you have reason to be satisfied with our exchange , for that dog is not like other dogs . his name is ' take hold ! ' and whatever you tell him to take hold of he will seize , even though it were the grimmest of trolls . "" thereupon they parted , and the youth thought that fortune had indeed favored him .",what did the youth give up in exchange for the dog ?,the gray pig .,,local,action,explicit,
three-dogs,"in the evening he called his dog and drove his pigs home . but when his old mother heard that he had given away the gray pig for a dog , she was angry beyond measure , and gave her son a good drubbing . the youth told her to calm herself ; but all in vain , the longer it lasted the more furious she became . then , since he did not know what else to do , he called out to his dog : "" take hold ! "" at once the dog ran up , seized the old mother and held her so tightly that she could not move . but otherwise he did her no harm . and now she had to promise her son to make the best of the matter , and then they were friends once more .",how did the youth's old mother feel about the exchange ?,angry beyond measure .,,local,feeling,explicit,
three-dogs,"in the evening he called his dog and drove his pigs home . but when his old mother heard that he had given away the gray pig for a dog , she was angry beyond measure , and gave her son a good drubbing . the youth told her to calm herself ; but all in vain , the longer it lasted the more furious she became . then , since he did not know what else to do , he called out to his dog : "" take hold ! "" at once the dog ran up , seized the old mother and held her so tightly that she could not move . but otherwise he did her no harm . and now she had to promise her son to make the best of the matter , and then they were friends once more .",why did the youth command the dog to take hold ?,he did not know what else to do .,,local,causal relationship,explicit,
three-dogs,"in the evening he called his dog and drove his pigs home . but when his old mother heard that he had given away the gray pig for a dog , she was angry beyond measure , and gave her son a good drubbing . the youth told her to calm herself ; but all in vain , the longer it lasted the more furious she became . then , since he did not know what else to do , he called out to his dog : "" take hold ! "" at once the dog ran up , seized the old mother and held her so tightly that she could not move . but otherwise he did her no harm . and now she had to promise her son to make the best of the matter , and then they were friends once more .",what happened because the woman had to promise her to make the best of the matter ?,they were friends once more .,,local,outcome resolution,explicit,
three-dogs,"the following day the youth went to the wood again , with his dog and the two pigs . after a time he sat down and played his flute as usual , and the dog danced to his playing with such skill , that it was nothing short of a miracle . and as he was sitting there , the old man with the gray beard came out of the wood again , and with him another dog , no smaller than the first . when the youth saw the handsome beast he thought to himself : "" if a fellow had that dog to keep him company here where it is so lonely , he need have no fear . "" when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth did not lose any time , but agreed to close the bargain . he received the great dog , and gave up one of his pigs in place of it . then the old man went his way . yet before he left he added : "" you have reason to be well satisfied with your purchase , for this dog is not like the other dogs . his name is ' tear ! ' and if you give him something to tear , he will tear it to pieces , even though it were the grimmest of trolls . "" then they parted .",how will the youth's mother feel when she sees he has exchanged a pig for another dog ?,angry .,,local,prediction,explicit,
three-dogs,"but the youth was happy in the idea that he had made a capital exchange ; although he knew that his old mother would not be content with it . and when evening came , and the youth went home , his old mother was no less angry than she had been before . but this time she did not venture to beat her son , because she was afraid of the great dogs . yet , as is usual , when women have scolded long enough , they stop of their own accord - and that is what happened in this case . the youth and his mother made peace with each other ; though the mother thought to herself that the damage done could not well be repaired .",why did the mother not venture to beat her son ?,she was afraid of the great dog .,,local,causal relationship,explicit,
three-dogs,"now it chanced that the young swine - herd once sat in the wood blowing his flute , while his three pigs were digging under the pine - roots . and an old , old man came along , with a beard so long and so broad that it hung far below his girdle . the old man had a large , powerful dog with him . when the youth saw the great dog , he thought to himself : "" if a fellow had a dog like that to keep him company here in the wilderness , he might consider himself lucky . "" and when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth was at once willing , and closed the bargain . he received the great dog , and gave up the gray pig in place of it . then the old man went his way . but as he left he said : "" you have reason to be satisfied with our exchange , for that dog is not like other dogs . his name is ' take hold ! ' and whatever you tell him to take hold of he will seize , even though it were the grimmest of trolls . "" thereupon they parted , and the youth thought that fortune had indeed favored him . the following day the youth went to the wood again , with his dog and the two pigs . after a time he sat down and played his flute as usual , and the dog danced to his playing with such skill , that it was nothing short of a miracle . and as he was sitting there , the old man with the gray beard came out of the wood again , and with him another dog , no smaller than the first . when the youth saw the handsome beast he thought to himself : "" if a fellow had that dog to keep him company here where it is so lonely , he need have no fear . "" when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth did not lose any time , but agreed to close the bargain . he received the great dog , and gave up one of his pigs in place of it . then the old man went his way . yet before he left he added : "" you have reason to be well satisfied with your purchase , for this dog is not like the other dogs . his name is ' tear ! ' and if you give him something to tear , he will tear it to pieces , even though it were the grimmest of trolls . "" then they parted . on the third day the youth went into the wood again with his pig and two dogs . he felt very happy , seated himself on a tree - stump and played his flute as usual . and the dogs danced to his playing with such skill that it was a pleasure to watch them . as the youth was sitting there in peace and quiet , the old gray - beard once more came out of the wood . this time he had a third dog with him , who was as large as both the others together . when the youth saw the handsome animal he could not help but think : "" if a fellow had this dog to keep him company in the wilderness , he would have no cause for complaint . "" the old man at once began : "" that is why i have come , in order to sell my dog , for i can see you would like to have him . "" the youth was at once willing and agreed to close the bargain . so he received the great dog and gave up his last pig in place of it . then the old man went his way . ",how many times did the boy make an exchange with the old gray-beard ?,three times .,,summary,action,implicit,
three-dogs,"yet before he went he said : "" you will be satisfied with your exchange , for this dog is not like other dogs . his name is ' hark ! ' and his hearing is so keen that he hears everything that happens , though it be happening many miles away . he even hears the grass and the trees grow . "" then they parted in the friendliest spirit . but the youth was happy in the thought that now he need fear nothing in the world . and then , when evening came on , and the swine - herd went home , his mother was very sad to think that her son had sold all they possessed . but the youth told her to be of good courage , since he would see to it that they did not suffer want . and when he spoke to her in such a cheerful manner , she grew content again , and decided that he had spoken in wise and manly fashion . then when day dawned the youth went hunting with his dogs , and came back at evening with as much game as he could possibly carry . and he continued to go hunting in this way for a time until his old mother 's store - room was well provided with meat and all sorts of good things . then he bade his mother a fond farewell , called his dogs , and said he was going to wander out into the world and try his fortune .",why was the youth happy ?,he thought that now he need fear nothing in the world .,,local,causal relationship,explicit,
three-dogs,"yet before he went he said : "" you will be satisfied with your exchange , for this dog is not like other dogs . his name is ' hark ! ' and his hearing is so keen that he hears everything that happens , though it be happening many miles away . he even hears the grass and the trees grow . "" then they parted in the friendliest spirit . but the youth was happy in the thought that now he need fear nothing in the world . and then , when evening came on , and the swine - herd went home , his mother was very sad to think that her son had sold all they possessed . but the youth told her to be of good courage , since he would see to it that they did not suffer want . and when he spoke to her in such a cheerful manner , she grew content again , and decided that he had spoken in wise and manly fashion . then when day dawned the youth went hunting with his dogs , and came back at evening with as much game as he could possibly carry . and he continued to go hunting in this way for a time until his old mother 's store - room was well provided with meat and all sorts of good things . then he bade his mother a fond farewell , called his dogs , and said he was going to wander out into the world and try his fortune .",how did the dogs help the boy and his mother not suffer want ?,the dogs were good hunters .,,local,action,implicit,
three-dogs,"and he fared forth over mountains and tangled ways , and came into the heart of a sombre forest . there he met the gray - beard of whom i have already told you . and when he met him the youth was much pleased , and said : "" good - day , grandfather , and thanks for the last time ! "" and the old man replied : "" good - day to you , and whither away ? "" the youth answered : "" i am wandering out into the world to see what fortune has in store for me . "" then the old man said : "" keep right on going till you come to the royal castle , and there your fortune will take a turn . "" and with that they parted . the youth followed the old man 's advice and for a time wandered on straight ahead . when he came to a tavern he played his flute and let his dogs dance , and was never at a lack for bed and board , and whatever else he might want .",where did the old man say the youth's fortune will turn ?,the royal castle .,,local,setting,explicit,
three-dogs,"after he had wandered long and far , he at length came to a great city , whose streets were filled with people . the youth wondered what it all meant , and at last reached the spot where , to the sound of bell , the king 's proclamation was being cried - that whoever should deliver the three princesses out of the power of the troll , would receive one of them , and half the kingdom as well . now he understood what the old man had meant . he called his dogs , and went to the king 's castle .",what will the youth do at the king's castle ?,request to search for his daughters .,,local,prediction,implicit,
three-dogs,"but there all had been grief and mourning since the day the king 's daughters had disappeared . and of them all the king and queen were the most sorrowful . then the youth went to the keeper of the door , and asked him whether he might play and show his dogs before the king . the courtiers were willing , for they hoped it might make him feel more cheerful . so he was admitted and allowed to show his tricks . and when the king had heard him play , and had seen the skillful dancing of his dogs , he grew quite merry , and none had seen him as happy during all the seven long years that had passed since he had lost his daughters .",how did the king feel when he heard the youth's playing and saw the skillful dancing of his dogs ?,merry .,,local,feeling,explicit,
three-dogs,"when the dance was over , the king asked the youth what he asked as a reward for having given him such a pleasure . the youth answered : "" my lord king , i did not come to you to win gold and gear . but i have another request to make : that you allow me to set out and search for your three daughters , carried away by a mountain troll . "" when the king heard this his thoughts once more grew gloomy , and he replied : "" you need not even think of delivering my daughters . it is no child 's play , and your betters have already attempted it in vain . yet should it really come to pass that you deliver one of the princesses , you may be sure that i will not break my word . "" so he took leave of the king and set forth . and he decided to take no rest until he had found what he sought .",why did the king's thoughts once more grow gloomy ?,the youth had asked about the king 's three daughters .,,local,causal relationship,implicit,
three-dogs,"now it chanced that the young swine - herd once sat in the wood blowing his flute , while his three pigs were digging under the pine - roots . and an old , old man came along , with a beard so long and so broad that it hung far below his girdle . the old man had a large , powerful dog with him . when the youth saw the great dog , he thought to himself : "" if a fellow had a dog like that to keep him company here in the wilderness , he might consider himself lucky . "" and when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth was at once willing , and closed the bargain . he received the great dog , and gave up the gray pig in place of it . then the old man went his way . but as he left he said : "" you have reason to be satisfied with our exchange , for that dog is not like other dogs . his name is ' take hold ! ' and whatever you tell him to take hold of he will seize , even though it were the grimmest of trolls . "" thereupon they parted , and the youth thought that fortune had indeed favored him . the following day the youth went to the wood again , with his dog and the two pigs . after a time he sat down and played his flute as usual , and the dog danced to his playing with such skill , that it was nothing short of a miracle . and as he was sitting there , the old man with the gray beard came out of the wood again , and with him another dog , no smaller than the first . when the youth saw the handsome beast he thought to himself : "" if a fellow had that dog to keep him company here where it is so lonely , he need have no fear . "" when the old man noticed this , he began : "" that is why i have come , for i want to exchange my dog for one of your pigs . "" the youth did not lose any time , but agreed to close the bargain . he received the great dog , and gave up one of his pigs in place of it . then the old man went his way . yet before he left he added : "" you have reason to be well satisfied with your purchase , for this dog is not like the other dogs . his name is ' tear ! ' and if you give him something to tear , he will tear it to pieces , even though it were the grimmest of trolls . "" then they parted . yet before he went he said : "" you will be satisfied with your exchange , for this dog is not like other dogs . his name is ' hark ! ' and his hearing is so keen that he hears everything that happens , though it be happening many miles away . he even hears the grass and the trees grow . "" then they parted in the friendliest spirit . but the youth was happy in the thought that now he need fear nothing in the world . and then , when evening came on , and the swine - herd went home , his mother was very sad to think that her son had sold all they possessed . but the youth told her to be of good courage , since he would see to it that they did not suffer want . and when he spoke to her in such a cheerful manner , she grew content again , and decided that he had spoken in wise and manly fashion . then when day dawned the youth went hunting with his dogs , and came back at evening with as much game as he could possibly carry . and he continued to go hunting in this way for a time until his old mother 's store - room was well provided with meat and all sorts of good things . then he bade his mother a fond farewell , called his dogs , and said he was going to wander out into the world and try his fortune . when the dance was over , the king asked the youth what he asked as a reward for having given him such a pleasure . the youth answered : "" my lord king , i did not come to you to win gold and gear . but i have another request to make : that you allow me to set out and search for your three daughters , carried away by a mountain troll . "" when the king heard this his thoughts once more grew gloomy , and he replied : "" you need not even think of delivering my daughters . it is no child 's play , and your betters have already attempted it in vain . yet should it really come to pass that you deliver one of the princesses , you may be sure that i will not break my word . "" so he took leave of the king and set forth . and he decided to take no rest until he had found what he sought . ",who will help the youth rescue the princesses ?,his dogs .,,summary,prediction,explicit,
three-dogs,"now he passed through many broad kingdoms without meeting with any special adventures . and wherever he went his dogs followed him . "" hark ! "" ran along and listened for anything worth hearing to be heard around them ; "" take hold ! "" carried his master 's knapsack and "" tear ! "" who was the strongest , carried his master when the latter was weary . one day "" hark ! "" came running up hastily , and told his master that he had gone to a high mountain , and had heard the king 's daughter , who sat within it and span , and that the troll was not at home . this greatly pleased the youth , and he hurried toward the mountain together with his three dogs . when they got there "" hark ! "" said : "" there is no time to lose . the troll is only ten miles away , and i can already hear the golden horse - shoes of his steed ringing on the stones . "" the youth now ordered his dogs to break down the door into the mountain , and they did . and as he stepped into the mountain he saw a lovely maiden , sitting in the mountain - hall , winding a golden thread on a golden spindle . the youth went up and greeted the lovely girl . then the king 's daughter was much surprised and said : "" who are you that dare to venture into the giant 's hall ? during all the seven long years i have been sitting here in the mountain i have never yet seen a human being . "" and she added : "" for heaven 's sake hasten away before the troll returns home , or else your life will be forfeit ! "" but the youth was unafraid , and said that he would await the giant 's return without fear .","what did ""hark!"" tell that master he had heard at a high mountain ?",the king 's daughter .,,local,action,explicit,
three-dogs,"now he passed through many broad kingdoms without meeting with any special adventures . and wherever he went his dogs followed him . "" hark ! "" ran along and listened for anything worth hearing to be heard around them ; "" take hold ! "" carried his master 's knapsack and "" tear ! "" who was the strongest , carried his master when the latter was weary . one day "" hark ! "" came running up hastily , and told his master that he had gone to a high mountain , and had heard the king 's daughter , who sat within it and span , and that the troll was not at home . this greatly pleased the youth , and he hurried toward the mountain together with his three dogs . when they got there "" hark ! "" said : "" there is no time to lose . the troll is only ten miles away , and i can already hear the golden horse - shoes of his steed ringing on the stones . "" the youth now ordered his dogs to break down the door into the mountain , and they did . and as he stepped into the mountain he saw a lovely maiden , sitting in the mountain - hall , winding a golden thread on a golden spindle . the youth went up and greeted the lovely girl . then the king 's daughter was much surprised and said : "" who are you that dare to venture into the giant 's hall ? during all the seven long years i have been sitting here in the mountain i have never yet seen a human being . "" and she added : "" for heaven 's sake hasten away before the troll returns home , or else your life will be forfeit ! "" but the youth was unafraid , and said that he would await the giant 's return without fear .",why did the dogs break down the door into the mountain ?,the youth ordered his dogs .,,local,causal relationship,explicit,
three-dogs,"now he passed through many broad kingdoms without meeting with any special adventures . and wherever he went his dogs followed him . "" hark ! "" ran along and listened for anything worth hearing to be heard around them ; "" take hold ! "" carried his master 's knapsack and "" tear ! "" who was the strongest , carried his master when the latter was weary . one day "" hark ! "" came running up hastily , and told his master that he had gone to a high mountain , and had heard the king 's daughter , who sat within it and span , and that the troll was not at home . this greatly pleased the youth , and he hurried toward the mountain together with his three dogs . when they got there "" hark ! "" said : "" there is no time to lose . the troll is only ten miles away , and i can already hear the golden horse - shoes of his steed ringing on the stones . "" the youth now ordered his dogs to break down the door into the mountain , and they did . and as he stepped into the mountain he saw a lovely maiden , sitting in the mountain - hall , winding a golden thread on a golden spindle . the youth went up and greeted the lovely girl . then the king 's daughter was much surprised and said : "" who are you that dare to venture into the giant 's hall ? during all the seven long years i have been sitting here in the mountain i have never yet seen a human being . "" and she added : "" for heaven 's sake hasten away before the troll returns home , or else your life will be forfeit ! "" but the youth was unafraid , and said that he would await the giant 's return without fear .",who did the youth see when he stepped into the mountain ?,a lovely maiden .,,local,character,explicit,
