text_a	text_b	labels
	Does anyone want to come up and color in what the perimeter would be	5.0
	In green	0.0
	In green	0.0
	how about is Brandon	1.0
	Are you Brandon	1.0
	No	0.0
	Yamlen	1.0
	Whats your name	1.0
Joey	Joey	1.0
	Okay	0.0
	So Alex colored in the square and he colored in the area	0.0
	Okay	0.0
	Thank you	0.0
	Tell your partner really quickly what is it Julian	1.0
	What Julian is doing	5.0
Hes getting the perimeter of the circle	What did Alex do	2.0
Alex he shaded in the middle of the square  cause its the area	And whats area	5.0
	What do you think area is	5.0
	I would like  raise your hand and tell me what Julian did	2.0
	What did he do	2.0
	Um is it Jessica	1.0
	Stacey	1.0
He outlined the circle with the perimeter	He outlined the circle which is the perimeter	1.0
	Okay can anyone come in and color the area	5.0
	Of this	5.0
	Come up and color the area of it	5.0
	How about Shira	1.0
	Shira	1.0
	And Ms Ferrant has the red one and I have the green one	0.0
	Yeah thats good	0.0
	Okay	0.0
	Do you guys agree with Shira	2.0
	Yeah	1.0
Yeah	Okay good thank you Shira	0.0
	Can someone come up and color in in green the perimeter	5.0
	Of this square that Alex colored in	5.0
	Desiree	1.0
	Yes	0.0
	Okay thank you Desiree	0.0
	So she colored the green around it	0.0
	And thats the perimeter	0.0
	And our very last shape the rectangle	0.0
	Okay	0.0
	Is there somebody that wants to come up and color the area of the rectangle	5.0
	Erica	1.0
	and then maybe while shes doing that in green does someone want to come up and color alongside of her the perimeter in green	5.0
	Brandon	1.0
	Yeah	0.0
	And I know it takes a while to color so you can just kind of shade it in really quickly	0.0
	Youre welcome	0.0
	So looking at what you guys just did it seems like you know a lot about area and perimeter	0.0
	Areas on the inside and perimeter is the distance  or area is the space on the inside and perimeters the distance around it	0.0
	Okay	0.0
	Good morning	0.0
	Are you all as awake as I am	0.0
Yeah	I dont know if that is good or bad Meredith	0.0
	Let me shut this  off	0.0
	I was thinking when I was looking at Marks model and I  noticed many of you made models also for projects for another  class	0.0
	I was thinking about this model because we were talking about  models the other day werent we	1.0
	Remember that	1.0
	But also we were  talking about models in general	0.0
	We asked ourselves some questions  about models	0.0
	Did you all build the same model	2.0
No	To answer that question	2.0
No no	Some of you built different models	0.0
	Erik	1.0
Some of us built the same models and some of us built different	Some of you built different models and I asked you a question about  that	0.0
	Do you remember	1.0
Oh	Erik	1.0
if you use different models	Yeah can you get different answers right Michael and Erik	1.0
	if you  use different models	1.0
	What did you think	5.0
	How many of you thought  you shouldn t get different answers	1.0
	How  many of you are not sure	1.0
	Its okay not  to be sure	0.0
	Have you been thinking about that at all since then	1.0
	Maybe not huh Michael have you been thinking about that a little  bit	1.0
So there will always be one fourth and two fourths three fourths  four fourths and two fourths is always going to be a half halfway  point	What do you think about that	2.0
	There are a lot of good ideas in what  you are saying	0.0
	I was thinking that  maybe it would help you it sort of helped me to look at Marks  model	0.0
	Sometimes it helps to look at a model thats a little different	0.0
	Maybe this is a model that doesnt use the Cuisenaire rods but in a  sense its a model	0.0
	Um I found out a little bit from Mark about a  book he read he was telling me	0.0
	This was  supposed to be a sea monster and this was supposed to be two friends	0.0
	And I looked at I looked at  what he built here to represent some of the  story and I thought by looking at this model that I couldnt really tell  of the boy and the girl who was taller by looking at them I wasnt  really sure and I didnt know really if Mark cared about that	0.0
	But I  looked at the sea monster okay and I looked at the boat okay and I  was thinking about their sizes a little bit right	1.0
	What are you why  are you smiling about Mark	1.0
I made the sea monster  bigger than the boat	Did you want the sea monster to be bigger than the boat	1.0
No	You really didnt	4.0
	What about the boat and the children	5.0
The children are bigger	The children are bigger than the boat	4.0
	Did you want that	1.0
	No	0.0
Yeah he was probably trying maybe to make them look bigger like  youre looking at the children not the boat	I I	0.0
like he doesnt he just put the boat in	Yeah	0.0
Yeah but he wasnt just focusing on the  boat	Maybe the boat wasn t intended to be so close but that he could  make it you know the dock not as far out as those things	0.0
	Or maybe  he didnt think about it all those things	0.0
	That wasn t what he was  focusing on but I think suppose changed this suppose we took this  story and made it a math problem	0.0
	Suppose we changed it for a  different purpose	0.0
	And I said to all of you I want you to go and  make me a model of two children right and theyre sitting at a dock  and theyre fishing and they just caught a fish right	1.0
	Lets not make  it a sea monster and lets change it a little bit theyre fishing and then  their boat is docked somewhere do you understand	1.0
	If I asked you  to do that and it mattered now what sizes they were	0.0
	What would you  expect to be the largest object and the next and the next	5.0
	What  would you expect if you were really worrying about the size you  had two children at a dock and you have a boat and you have a fish  now we re not going to go with sea monsters	0.0
	Mark	1.0
Uh the boats the biggest	The boats the biggest	3.0
	Do you agree	2.0
Mm hmm	You think the boats the biggest	0.0
	okay	0.0
And then the children um and then the fish	Would be the smallest	0.0
	You all agree with that	2.0
Um hmm	You agree with that that there are certain things that all  of you would have in your model	2.0
	You have these four principal  players right or things	0.0
	The boat two children and you have the fish	0.0
	And howwhat size will you make them will that necessarily be the  same	5.0
	Meredith	1.0
Well maybe not because everybody cant have the same because  they dont have theyre not like copying each other	Yeah	0.0
	You make your children	0.0
	some of you might use little dolls or  something right or bigger dolls or	0.0
You re not measuring the same	You wouldnt measure them the same	4.0
	But one thing that would be  the same is the relative one thing you have to be careful each of you  in your own models would be the sizes in relation to the other sizes  right	1.0
	And if somebody came in now with a fish bigger than the boy   that would have missed the point right	1.0
No because a fish could be bigger than a boy	Thats true ok thats true	0.0
	But we really mean two children fishing at  a little dock not out in the ocean somewhere where we expect the  fish to be smaller but youre right youre absolutely right Michael it  could be	0.0
	But we d have to agree on some things on some  constraints here	0.0
	Obviously if we changed it that we were maybe  deep sea fishing right and we could be catching some whales or  whatever	0.0
	Or even some very very big fish	0.0
	Okay that would  change	0.0
	Now what does that have to do with the models you made  and some of the comments that Michael and Erik made about the  models you made	5.0
	What does that have to say about it	5.0
	Would you  expect one model to come up with something different than the  other	1.0
	Would it look different	1.0
Yes	Maybe	0.0
	Would the relationships that youre suppose to show change	1.0
No	No	3.0
	And thats the important thing to remember	0.0
	That your model  that you make should not be changing right your argument	0.0
	But  suppose Mark had his model and suppose Danielle made a model  ok	1.0
	And Danielle decided to make a very little model okay a little  tiny model	1.0
	She doesnt like to carry big things to school	0.0
	And lets  suppose that Audra made a big model right	1.0
	She got some help	0.0
	Could I take the fish in Danielles model and swap it for the fish the  little fish in Danielle s model or lets take Audras big fish can I put  it in Danielles little box	0.0
	No	0.0
	Well it depends on how big the fish is	0.0
	Danielles little box is really a little box so its um you know  about this size  and Audras is like that and so Audras fish is maybe about this big and  Danielles fish is about this big	0.0
	Would it be okay to put Audras fish  in Danielles box	1.0
	No	0.0
It would look like a shrimp	It would look like a shrimp	3.0
	Why wouldnt it be okay	6.0
	What would  probably happen if you did that	5.0
	Graham	1.0
Well it wouldnt fit	It wouldnt fit in it	4.0
	Thats exactly right it probably wouldnt even fit  in	0.0
	Maybe it would but it might not right	1.0
	And what would happen  Meredith	5.0
Well you could put the Audras fish and you could put Danielles fish  into Audras box because it s small and it could fit in	It could be a shrimp	0.0
but you cant put Audras fish into Danielles box because its too small	Ok it raises some interesting questions doesnt it	1.0
	Were sort of you  know making up some hypothetical things and imagining some  things	0.0
	But do you get the idea	1.0
	That once youve built your model  and you decide what you are going to call one right	1.0
	Youve chosen  to make your other principal players in relationship to that one  right	1.0
	So in this case if if your one is going to be the size of this  little stage if you like  your players are made the boy the  girl the fish the boat in relationship to this stage isnt it	1.0
Mm hmm	But if youve made your one a much bigger stage if you  like your  players are going to be in relationship to that stage isnt that right	1.0
	And as long as you stay within your stage right you show your  relationships and if they may or may not work when you switch  stages right	1.0
	And that s like switching candy bars right	1.0
	Isnt that  right	1.0
Yup	So I want you to think about that for models	0.0
	Would you expect if  you were building a brand new model that what you showed to be  true with your first model should it still work	1.0
	Should it still work  with the new model the relationships you showed with your old  model	1.0
	Would you expect it to work if your	1.0
Maybe maybe	Michael  changed his mind he doesnt expect it to work Before he said it  should work and now he saying it may not work	0.0
	So tell me what  you re thinking	5.0
So you make a bigger  model and you try to take the little fish from that model because you  decide that you dont want to make another one you put it in and you  wouldnt be able to see it there	Okay but thats not my question now	0.0
	Suppose in your little stage  you showed the people and the boat and the fish right	1.0
	And you  showed the fish were smaller than the people who were smaller than  the boat	0.0
	Right	0.0
Yeah mmm hmm	Would you expect lets say in Audras model which is a different  model that her fish was smaller than the people and smaller than the  boat	1.0
Youd have bigger people bigger boat and a bigger fish	But should those relationships hold	1.0
Yes	Yeah is that right	1.0
Yeah	Or if we had sort of a medium size model like Marks and he were  trying to make these fit would you expect the fish to be smaller than  the people than the boat	1.0
Yeah	So in each of your models would have those relationships holding  right	1.0
Yeah	But they wouldnt all be built the same way and they wouldnt all be  the same size	0.0
So it d be its standard that the fish would be smaller than the boat  and the people except the fish would be different sized and the  people different sized and the boat different sized	Right	0.0
	Is that like what youre doing when you make models to  compare fractions	1.0
Yeah	In what way is it the same or different	5.0
	Meredith	1.0
Well if you have the same question asked and you do it right then  youre going to wind up with the same answer and some of the  models could be bigger and some of them could be smaller	What do the rest of you think	2.0
	How many of you agree with what  Meredith said	2.0
	How many of you disagree	2.0
	How many  of you are still not sure	2.0
	You know we have  to help the people who are not sure to understand	0.0
	they dont  disagree but theyre still not following	0.0
	Can someone help	1.0
	Let s  talk about this a little bit more to help them	1.0
	Who wants to give it a  try	1.0
	Or the people who arent sure want to  tell us what they are confused about	1.0
	Do you want to talk a little bit	1.0
	Audra	1.0
	Jackie	1.0
	What bothers you and then maybe the people here  will try to help ok	1.0
	Michael do you want to add to that	2.0
You could still do that in Audras model or  any box	Does that help Laura Audra or would you like to ask Michael a  question	1.0
	Does anybody want to add to that	2.0
	Weve heard from  Michael and weve heard from Erik	0.0
	Meredith you were going to say  something earlier	1.0
	Oh it was said already	1.0
Yes	Does anybody want to add to that	2.0
	Sarah Beth okay well its    something to think about isnt it as we make uh different models	0.0
	Im wondering which is bigger one half or two thirds	0.0
	Now  before you model it you might think in your head before you begin  to model it what you is bigger and if so if one is bigger by how  much	0.0
	Why don t you work with your partner and see what you can  do	0.0
Hey wait a minute hey wait maybe that s it yeah it s bigger by one  sixth	Now take six of the ones	0.0
	Which is bigger	5.0
I think one half is	Yes David and Meredith	1.0
is bigger than	You both agree	2.0
If you put it up to a whole	I m sorry what s the number name for dark green	0.0
One	Ok	0.0
And you put six ones up to the dark green	Hold on I m a little confused	0.0
	Tell me again	1.0
	Six ones	1.0
	You called  this one	1.0
	What are you calling these	5.0
One sixth	One sixth	3.0
We re calling them each sixths	Ok	0.0
This would be one third and this is one half of  dark green and then it would be bigger by one sixth because	Do you both agree with that	2.0
Yeah mm hmm	Ok could you write that up	0.0
	Uh let me get you some paper I want  you to write that up	0.0
	And see if you can make me  if it works for  other models because some students don t believe that it works for  other models and I think you two believe that it works for other  models	0.0
Mmm hmm yeah	So can you try to find some so that you can try to convince them that  it should work for other models and come up with a way of  explaining it to the class ok	1.0
	That if it works if you really believe it  that if it works for one it works for others and then write this up let  me get you some paper	0.0
Go get another box	Ok I see you had your hands up  over here	1.0
Yeah	Let me come around and see what you re doing	0.0
Well I have three	You have two solutions three	0.0
	Ok let me hear about one of these  models	0.0
	Here which one do you want to tell me about	1.0
That one	Yeah thats an interesting looking one tell me about it	5.0
Now if you call this rod one	The orange and red together	1.0
And  in this one it you take this	Can we go back to that one again	1.0
I mean its bigger than one tenth I mean twelfth one twelfth one  twelfth	How does that work	5.0
	Im confused about that	0.0
	I m confused about  the little white rods I am following you right up to that point	0.0
If you put the white rods up to here theres twelve of them and  then you call them twelfths because there are twelve of them	All right okay	0.0
And then you take the two thirds and you take two twelfths and  then you put it up to the thirds and it is bigger by  two tens two twelfths	By two twelfths okay	0.0
If you use this model	Uh hmm	0.0
And if you use this model	Uh hmm	0.0
And you call these sixths and you put  this one up to it and it is bigger than one  sixth	Okay so here it was bigger by two twelfths and here it was bigger  by one sixth	0.0
Yeah	Thats interesting	0.0
	Could we call the difference between the two  thirds and the one half in this model another number name besides two twelfths	5.0
Um yeah well maybe	You said two of those little white ones were two twelfths right	1.0
or its one fifth oh I mean one sixth the reds	Oh thats interesting thats kind of interesting then so if you then  used the reds to describe the difference you could call this one sixth  the difference	0.0
Uh hmm	And over here	0.0
	one of the whites you say is one sixth	1.0
Yeah	Oh that s interesting two different models	0.0
	Okay	0.0
	Im wondering which is bigger one half or two thirds	0.0
	Now  before you model it you might think in your head before you begin  to model it what you is bigger and if so if one is bigger by how  much	0.0
	Why don t you work with your partner and see if you can  figure it out	1.0
Well we ve got we ve got that whole this is the whole we have the  three thirds and we then the half	And what we supposed to figure out after we did that	5.0
Which is bigger a half or two thirds	Oh I want to know	0.0
	Is it still the same or does it change when your  model changes	5.0
Two thirds is still bigger	How much	5.0
	Let s line  em  up	0.0
	Two thirds is bigger but now I want to know by how much	5.0
	Can  you figure that	5.0
	You need some more whites	0.0
	Uh how many  more do you think you need	5.0
	A bunch	1.0
	Takes a lot doesn t it	1.0
	How  many do you think	5.0
Eighteen	Hmm	0.0
	So how much larger	5.0
One eighteenth	You can use some more of these if you want  Danielle It s bigger by three eighteenths	0.0
	My goodness tell me help me remember what it was over there	5.0
It was bigger by one one sixth	Ok so does that mean we have a different answer	1.0
	No	1.0
	This is  different from the other one or the same	5.0
It s different in a way and it s the same in a way	How s it different and how s it the same	5.0
Well it s the same because the half is smaller and it s different  because um this one it only ta the little box are only um two three  four there s only six of them and here s there s eighteen and this  the thirds are bigger by three eighteenths	You mean yeah the two thirds are bigger by three eighteenths	4.0
and the two thirds over here is bigger by one sixth	Mmm hmm	0.0
	And so you think that you get a different answer if you  have different models	1.0
	As to how much bigger	1.0
	I agree with you  you re saying that two thirds is still bigger but it it bigger by a  different thing	5.0
Well	You re still looking for another way to do it	1.0
	That  doesn t quite work does it	1.0
	We found one way over here we found  this way it seems to me  there ought to be something in between is  that what you re thinking	1.0
	Hmm I wonder if there s another way	0.0
	Hmm she used the orange and the brown is there something smaller  than the brown that you could put together that would work no add  onto the orange	5.0
	She added the brown to the end of the orange and  that got hers to work	0.0
	This is there something smaller than this  brown that would work attached to this	5.0
	You tried that one it didn t  work	0.0
	Let s try this one and see if it can work	0.0
	Why don t you try the  orange and the red	0.0
	I m still concerned about about  whether the three eighteenths is a different answer from the one  sixth	0.0
	You said here that if you have two thirds and a half oh there  you said over here now you have to see if you can do it  with thirds is that right	1.0
	Hmm	0.0
	Look we have a  different model over here even	0.0
	So now we have three	0.0
	I wonder if  it s going to be the same as yours or if it s going to be the same as  this one	0.0
	Is two thirds still bigger Greg is two thirds still bigger than  a half on this model too or did it change	5.0
	Ok Danielle what do you think about this time	5.0
Well um two thirds	What is two thirds	5.0
	Can you build a two thirds and a one half for  him separate so we can then compare	5.0
Here s the two thirds and here s the half	What s the difference	5.0
It s  um it s bigger by two twelfths	Oh so is he getting a different answer from that too or are they the  same	2.0
	How are the answers I don t understand what do you think  about this	5.0
One two three	Over here it was how much	5.0
This one was bigger by three eighteenths	And this one	5.0
One two three four five six seven eight nine ten eleven  twelve	And your original one was	5.0
It was bigger by one sixth	Oh so what do you think	5.0
Cause they re the  same because the thirds are always bigger than the half	The two thirds are always bigger than the half	1.0
So  they re different like that	Mmm hmm	0.0
	Is there any other way that you could show that  difference here than with the whites	5.0
	It s the only way you could  show it there isn t it	1.0
	I don t mean for you to change your model I  mean is there any other way that you could show me what that  difference looks like without using the whites	5.0
	Or this difference  here	5.0
You could use a light green	What would that be	5.0
That would be one That would be one sixth	Hmm	0.0
	And what did you say it was over here with the little one	5.0
Um that s one sixth	Mmm hmm	0.0
	So if you used the light green	0.0
It could be one sixth	It could be one sixth	3.0
	And if you used the whites	5.0
It would be three eighteenths	Mmm hmm	0.0
	What about for this one	5.0
What problem	It was this one here	0.0
	Uh Gregory I want you to watch and see if you agree with  what Danielle is doing here	2.0
And then  that would be one sixth too	Mmm over each of  em	1.0
That would be one sixth that would be one sixth and that one would  be one sixth	But you have had two two different names for the answer if you did  it this way it was	5.0
It was two twelfths	And and uh Gregory for this one over here where she had the  three what was the name for that one	5.0
Three eighteenths	Yeah it was	0.0
	I m  going to have to have to stop you for a minute I know that I hate to  do this because I know you re working all so hard but I would like  to spend ten minutes uh just have us think about a few things and  you can finish this is that ok Mrs Phillips if they can finish writing  this up for us when we come back on Wed	0.0
	Ok so you really have  today and maybe some time tomorrow to finish writing this up	0.0
	I I  would like all of you though to sort of give me your attention for a  minute um because I m wondering about a few things	0.0
	I need you  to help me straighten out some things in my head and if you can  help me straighten them out in my head you may be helping out  other people straighten them out also	0.0
	So I m going to ask you some  some important questions are you all listening to my questions	1.0
	If  you could stop what you re doing for a moment I know it s hard  and sort of listen to my questions	0.0
	How many of you made one  model and absolutely are convinced that you know by your model  which is bigger one half or two thirds	1.0
	How many of you did that  with one model and you are absolutely convinced with your model  you know which is bigger one half or two thirds	1.0
	Would you please  raise your hand if you made one model you could have made more  than one but you made at least one	1.0
	If you made at least one model  girls and you re absolutely convinced No  one could persuade you otherwise that you know which is bigger  one half or two thirds	1.0
	Alright so tell me which is bigger	5.0
Two thirds	Again	1.0
Two thirds	And you also know how much bigger	0.0
	How many of you are  convinced you know how much bigger and no one can persuade you  otherwise that two thirds is not only bigger than a half but it is how  much bigger	5.0
One sixth	How many of you believe one sixth	1.0
	That s what I thought  Walking around I thought that that is what I  believe that everyone has done	0.0
	How many of you made a second  model	1.0
Oh Oh	You could have made more than two but you made at least two  models	0.0
	And in your second model you got a different answer	0.0
	You  got an entirely different answer you no longer have two thirds  bigger than one half you showed something else	0.0
	Are you all  watching	1.0
	Some of you got a second model that showed something  different	0.0
	Meredith	1.0
	Lets listen to what Meredith says	0.0
	Girls why don t we stop that for just a moment and then  we ll make some more	0.0
	Listen listen	0.0
	You think you  showed something else in your second model	5.0
	I am  really confused	0.0
	I have no idea what Meredith is going to do	0.0
	Because I thought I understood this and I thought she was going to  tell me she got the same answer	0.0
	Did you think that	1.0
	And now she s  telling me no	0.0
	Im going to get so confused	0.0
	You are all going to have to help me	0.0
	How many of you  built a second model that looks like that model up there that  Meredith is fiddling with	2.0
	How many of you have a model that looks  like that	2.0
	By the way what was one in that  model	5.0
	What did you call one in that model	5.0
	Amy	1.0
Ah the orange and red	How many of you called  one  orange and red in that model	1.0
	Yeah  you did that model	0.0
	Did you get to have two thirds bigger than a  half	1.0
No	Amy got two thirds bigger than a half in that model how many of  you got two thirds bigger than a half in that model where the orange  and the red were one	0.0
	Michael didnt Meredith did	0.0
	You didn t  Michael	1.0
So they cant use those whites  to show it	Oh but youre saying that youre saying that two thirds whats a  third	5.0
A third is the purple	And what s two thirds	5.0
	Just tell us	5.0
Um two thirds is two purples	Did you all do that	2.0
	Did you get two thirds to be two purples	1.0
	And what did you get to be one half	5.0
Uh dark green	Did you get dark green to be a half	1.0
	And you got two thirds to be bigger  than one half	1.0
Yes	By how much	5.0
No	Tell us Meredith	5.0
	Aha	0.0
	How many of you got one sixth	1.0
	And what rod did you use to represent one sixth	5.0
	What color rod	5.0
Red	How many of you used a red rod to represent one sixth in that model  and you showed it was bigger by one sixth	1.0
	And Meredith says she  did it a little differently and she didnt get one sixth	0.0
	And what did  you get Meredith	5.0
Two twelfths	What do you think about that	2.0
Uh uh	Well she showed its bigger by the two whites she shows two  whites bigger	0.0
Yeah she said	Shes calling one white one sixth	2.0
No Im not Im calling it one twelfth	Shes calling one white one twelfth	4.0
You cant call them  you can call them separately but you could also call them combined  and if you combine them it would be uh one sixth	Ok but she didnt combine them and shes calling the two whites  together again Meredith	5.0
One twelfth two twelfths	Two twelfths	3.0
	She s calling	0.0
	Do you all agree that one  white has a the number name for the white rod is one twelfth	2.0
	Someone told me that when I was walking around it might have  been Audra	0.0
	And some other people told me a white would be one  twelfth	1.0
	Is that true	1.0
	And two white rods would be	5.0
Two twelfths	Two twelfths	3.0
	And one red would be	5.0
One sixth	One sixth	3.0
	So so what is Meredith saying here	1.0
Theres two answers	Are there two answers	1.0
Theyre the exact same answer  except theyre just in two parts	Let me write this  down	0.0
	This what you are saying here is so important here	0.0
	Let me  see if I can write this down	0.0
	Youre saying that youre calling the red  youre giving red the number name right	1.0
	The length of the red  right	1.0
	Well give it the number name what did you say	1.0
One sixth	One sixth	3.0
	And two whites can I write two  w   for  two whites	1.0
Yeah	And youre calling two whites	5.0
Two twelfths	Two twelfths	3.0
	But what Erik just told me right  is something about red and white	0.0
A red one red equals one red rod up here one red equals two  of the white ones	So were talking about the length of the red rod the  length of the red rod is the same as the length of the two white rods	1.0
	Is that  true	1.0
	Do you all agree to that	2.0
Because two whites two whites	She says one white is a twelfth and then if you put it together  with another one twelfth shes saying you get two twelfths	0.0
And its one sixth its one sixth	And youre saying if you have if you take one half thats all right	1.0
	If youre taking one half of one sixth youre  saying you get one twelfth  Youre saying that	0.0
	Thats the two things Im hearing	0.0
	Right	0.0
	And  youre saying that the length of one sixth is the same as  the length of two twelfths	0.0
	Is that what you are saying	1.0
Yeah	All those things are they true	1.0
Well you can call them if you want to but	Well we have different number names for these rods	0.0
Theres just half of one theres just half of one	So youre saying that one half of the one sixth is another way of  saying one twelfth	4.0
Theyre just two answers	Well youre saying if you took a twelfth a rod that has length one  twelfth and another rod that has length one twelfth and put them  together right	1.0
	That rod would have length two twelfths	0.0
	Isnt that  what you said	1.0
What Erik said is that two whites equal one red so it would be the  exact same thing	Or a rod that has length one sixth that would be the red one in this  problem would also have length two twelfths	0.0
	Is that what you said  when you talk about the lengths of the rods	1.0
	So are all of these true  statements	1.0
Yeah	Thats amazing	0.0
	Look at all the fancy mathematics youre doing  thats amazing	0.0
	Thats something for us to think about ok	1.0
	So  Meredith is still saying that I dont disagree with you when I say  that its a red bigger in this model  right	1.0
Um hmm	Im just going to give this red a different number name	0.0
	I could give  it the number name one sixth if I think about it when I compare it to  the rod I call one the orange and red I could give it the number  name one sixth	0.0
	Or if Im thinking about the white rods right	1.0
	I  could give it the number name two twelfths	0.0
	And thats very  interesting	0.0
	Does that contradict what youre doing	1.0
	Or does it still  work what youre doing	1.0
	It still works Meredith thinks	0.0
	Thats  something to think about isnt it	1.0
	That s very interesting thank you  for sharing that	0.0
	Well I think we ve run out of time	0.0
	It looks like histogram F and situation 5	0.0
	would you read it	1.0
Situation 5 is  This test was very difficult for most people	Ok and can you tell us why your group feels good about that match	6.0
Our group felt that it was pretty good match because when it says its most difficult and then we checked it the highest score is mostly in the lowest score while little bit to no people got the highest score of 90 or 100 percent	Ok Um whats the frequency for the bin thats the highest bar	5.0
	I cant see it	0.0
According to me its approximately 42 people got a 20 to 30 percent score	Ooooo ooooo	0.0
	Um how many groups matched um histogram F with 5	1.0
	Can I see	1.0
	How many groups did that match	1.0
	Wow	0.0
	So only two other groups besides	0.0
	Um can I get a group who has a different situation for histogram F	2.0
	Histogram F	1.0
	Did anyone feel good about F	1.0
	whos the recorderreporter	1.0
	come on up	1.0
	keep yours up there	0.0
	Maybe move it to the side and would you stay right there	0.0
	I want another group who had a different interpretation of that	0.0
	Great	0.0
	Can you	1.0
	Oh that was your handwritten one	0.0
	Fabulous can you read for us please	1.0
Some people got low scores but most people but some people could do everything	Could do	1.0
Everything	Everything	1.0
	Ok	0.0
	Could you justify that	5.0
	What made you guys write that for histogram F	5.0
Uh like like some people got like low scores and like there was like some people got like everything right	Uhhuh	0.0
	How many people got everything right	5.0
Like one or two	Ok	0.0
	Questions or comments about both of these	2.0
	Anybody want to share comments or questions	2.0
	Ok I have the different people from the same two groups	0.0
	Um  hold yours for a minute because thats your person	0.0
	do you want to rebuttal	2.0
What I was thinking that it doesnt work because its little to no people not because some people might be like more than because its real   its more real to have 100 percent on histogram F while the lowest scores from 20 to 30 theres a bunch of people that has a low score	I see	0.0
	Alright	0.0
	Um  do you want to rebut him	2.0
I think that	Even though  is up here	0.0
I think that the situation you gave fits more to histogram A because um histogram A shows no people getting scores of 70 to 80 or higher and so that means that everybody got a very low sco or a low score whereas in um histogram F a few people got a score that was 70 to 80 80 to 90 90 to 100	So are you saying that your group took s group number 5 situation and put it with A	1.0
Yes	Ok um how many people	5.0
	would you take your number 5 just to be visual and would put it over here	0.0
	How many people did that one	1.0
	Oh wow	0.0
	Wow	0.0
	That Im Hey youre not right or wrong answer	0.0
	Its about the strength of your argument	0.0
	Im not Theres no right or wrong answer	0.0
	Im gonna ask that we go ahead and flip to the next table which will be on blue paper	0.0
	So I would like for you to take a look at this table and ask yourself does this make mathematical sense	0.0
	Why or why not	0.0
	Does this table make mathematical sense	1.0
	Why or why not	6.0
	Okay you can take a moment now and talk to your shoulder partner	1.0
	If youre a black card Id like for you to share first	0.0
And then right here it says 12 25 38	Boys and girls Im hearing some very interesting ideas so Id like for you to go ahead and share out	5.0
